iso3,year,gdp_usd,population,inflation_rate,gdp_log,pop_log,node_id
HKG,2017,341273289534.466,7393200.0,0.0,26.55594942883979,15.81607135205008,78
HND,2017,23136247990.5977,9588137.0,0.0,23.864666401727597,16.076037267424073,79
HRV,2017,56182782585.9052,4041407.0,0.0,24.75187618724474,15.212103704071623,80
HTI,2017,15093357161.1498,10817754.0,0.0,23.437520560936324,16.1966993237176,81
HUN,2017,143335098991.862,9726756.0,0.0,25.68845107544489,16.09039109953068,82
IDN,2017,1015618744159.73,267346658.0,0.0,27.646519142849954,19.404056722553793,83
IND,2017,2651474262755.45,1359657400.0,0.0,28.60613692680345,21.030498593930048,84
IRL,2017,348355212568.515,4827445.0,0.0,26.57648852190902,15.38982810730821,85
IRN,2017,510239893417.645,85026754.0,0.0,26.958146831323386,18.258476529632457,86
IRQ,2017,187217660050.676,39337353.0,0.0,25.95553773442325,17.48768510887667,87
ISL,2017,25060086487.8901,343400.0,0.0,23.944542237680928,12.746654139497183,88
ISR,2017,358451839052.991,8713300.0,0.0,26.605060147805407,15.98036126669729,89
ITA,2017,1970720904584.71,60002252.0,0.0,28.30942053315228,17.90989266948139,90
JAM,2017,15783583236.675,2815764.0,0.0,23.48223620121746,14.850744541073237,91
JOR,2017,41608435915.493,10234226.0,0.0,24.451568770109393,16.14124824906659,92
JPN,2017,4930837369151.42,126972000.0,0.0,29.226529941315025,18.65947715555005,93
KAZ,2017,166805788827.233,18651931.0,0.0,25.84009603147408,16.741460291182065,94
KEN,2017,82036510877.2599,49197766.0,0.0,25.13043023972717,17.71135879425369,95
KGZ,2017,7702938379.42036,6306696.0,0.0,22.764867700859092,15.657122642633489,96
KHM,2017,29355665909.7905,16073372.0,0.0,24.102751410953708,16.592674609901806,97
KIR,2017,222875736.343445,120275.0,0.0,19.222124942469396,11.697544380812866,98
KNA,2017,1056977777.77778,47050.0,0.0,20.77867952069752,10.758987398772785,99
KOR,2017,1710196756713.17,51361911.0,0.0,28.167629542229893,17.754407444067386,100
KWT,2017,120687539805.505,4154812.0,0.0,25.516470726966308,15.239777979242037,101
LAO,2017,17071155481.4994,7018147.0,0.0,23.560656062293674,15.764009923532175,102
LBN,2017,53027680685.9038,6160128.0,0.0,24.694079891270704,15.633608276848873,103
LBR,2017,3390703400.0,4848925.0,0.0,21.944303229735446,15.394267795092508,104
LBY,2017,67157452181.7738,6738770.0,0.0,24.930305731908057,15.723388122048112,105
LCA,2017,1998503703.7037,176342.0,0.0,21.415664589856092,12.080186241085622,106
LKA,2017,94369350285.5814,21453000.0,0.0,25.270482178210603,16.88137510031217,107
LSO,2017,2306741672.29006,2157110.0,0.0,21.559101834701483,14.584280384408867,108
LTU,2017,47756764508.446,2842639.0,0.0,24.589386558958882,14.860243755812613,109
LUX,2017,65712180342.9836,596336.0,0.0,24.908550138617276,13.29856122249026,110
LVA,2017,29391059767.4259,1942248.0,0.0,24.103956375537134,14.479357137945756,111
MAC,2017,50297028370.6668,648400.0,0.0,24.64121183420885,13.382264611100334,112
MAR,2017,118540573367.844,35446392.0,0.0,25.498521130217334,17.383532056823462,113
MDA,2017,9514404016.20949,2755189.0,0.0,22.976072699601374,14.82899696370838,114
MDG,2017,13176313593.5509,26788375.0,0.0,23.30168662997499,17.103478620049156,115
MDV,2017,4816426256.52914,458287.0,0.0,22.295298049659433,13.035253086431963,116
